[22:47:28][HookEngine.c:45 in HookEngine_init] Loading HookEngine in C:\Users\Spl3en\Desktop\vagrantbox\treeofsavior\clienthooks\HooksOfSavior\HooksOfSavior\/NtHookEngine.dll ...
[22:47:28][HookEngine.c:29 in HookEngine_new] HookEngine initialized correctly.
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00000002 | ItemLv = 000 | ClassName = <NoHat> | itemType = <Equip> | GroupName = <Armor> | classType = <None> | EqpType = <HAT> | AttackType = <None> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_001550$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE8 | ItemLv = 65704864 | ClassName = <SWD02_120> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000098$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EE9 | ItemLv = 65704864 | ClassName = <SWD02_121> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000099$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x00018EEA | ItemLv = 65704864 | ClassName = <SWD02_122> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000100$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000192BD | ItemLv = 65704864 | ClassName = <SWD03_101> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000103$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000192BE | ItemLv = 65704864 | ClassName = <SWD03_102> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000105$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000192BF | ItemLv = 65704864 | ClassName = <SWD03_103> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000107$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000192C0 | ItemLv = 65704864 | ClassName = <SWD03_104> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000109$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000192C1 | ItemLv = 65704864 | ClassName = <SWD03_105> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150428_004801$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000192C2 | ItemLv = 65704864 | ClassName = <SWD03_106> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000113$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000192C3 | ItemLv = 65704864 | ClassName = <SWD03_107> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000115$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000192C4 | ItemLv = 65704864 | ClassName = <SWD03_108> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150428_004802$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000192C5 | ItemLv = 65704864 | ClassName = <SWD03_109> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150428_004803$*^>
[22:47:51][main.c:248 in ItemTable__convertIESToIR] Seed = 0x000196A5 | ItemLv = 65704864 | ClassName = <SWD04_101> | itemType = <Equip> | GroupName = <Weapon> | classType = <Sword> | EqpType = <SH> | AttackType = <Slash> | Attribute = <Melee> | Name = <@dicID_^*$ITEM_20150317_000117$*^>
